I am here,Ich bin hier
I clean your(pl) room,Ich putze euer Zimmer
I know your(pl) aunt,Ich kenne eure Tante
I see your(pl) cousins,Ich sehe eure Cousins
I help your(pl) uncle,Ich helfe eurem Onkel
I help your(pl) child,Ich helfe eurem Kind
I thank your(pl) aunt,Ich danke eurer Tante
I help your(pl) cousins,Ich helfe euren Cousins
Your(formal pl) boss is strict,Ihr Chef ist streng
Your(formal pl) hotel is big,Ihr Hotel ist groß
Your(formal pl) boss (f) is nice,Ihre Chefin ist nett
Your(formal pl) guests are here,Ihre Gäste sind hier
I see your(formal pl) boss,Ich sehe Ihren Chef
I see your(formal pl) hotel,Ich sehe Ihr Hotel
I know your(formal pl) boss (f),Ich kenne Ihre Chefin
I see your(formal pl) guests,Ich sehe Ihre Gäste
I thank your(formal pl) boss,Ich danke Ihrem Chef
I answer your(formal pl) boss,Ich antworte Ihrem Chef
I help your(formal pl) boss (f),Ich helfe Ihrer Chefin
I help your(formal pl) guests,Ich helfe Ihren Gästen
Their neighbor is loud,Ihr Nachbar ist laut
Their village is small,Ihr Dorf ist klein
Their neighbor (f) is nice,Ihre Nachbarin ist nett
Their friends are nice,Ihre Freunde sind nett
I know their friend,Ich kenne ihren Freund
I see their village,Ich sehe ihr Dorf
I know their friend (f),Ich kenne ihre Freundin
I see their friends,Ich sehe ihre Freunde
I help their friend (m),Ich helfe ihrem Freund
I help their child,Ich helfe ihrem Kind
I thank their friend (f),Ich danke ihrer Freundin
I help their friends,Ich helfe ihren Freunden
